Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
1999-01-04,5.789620399475098,5.89432169302107,5.777986396448286,5.777986396448286,57200
1999-01-05,5.758598804473877,5.824521679002412,5.750843116485858,5.824521679002412,85400
1999-01-06,5.948615550994873,5.956371242717161,5.7857460248268255,5.824524483438266,112800
1999-01-07,5.92146635055542,5.952489092544607,5.851665181079751,5.948610776426482,145200
1999-01-08,5.948615550994873,6.095973693718345,5.801257408271402,5.956371242717161,842200
1999-01-11,5.836155891418457,5.902078768285908,5.816766197390843,5.894323080022721,70000
1999-01-12,5.746965408325195,5.855545051667372,5.73920971951504,5.832277985236906,178400
1999-01-13,5.6616530418396,5.754721311020525,5.6306302854459584,5.646141663642779,84800
1999-01-14,5.553072929382324,5.677163944564052,5.553072929382324,5.64614119076862,140000
1999-01-15,5.638382911682129,5.646138596567524,5.57246006352571,5.599604487255155,21400
1999-01-19,5.638382911682129,5.661649966338314,5.59184880236976,5.661649966338314,25600
1999-01-20,5.591851711273193,5.661652911552609,5.58797434018291,5.607363089113063,31600
1999-01-21,5.638382911682129,5.684917020994499,5.584093117484365,5.59184880236976,47800
1999-01-22,5.607364177703857,5.6616540106830096,5.599608487278265,5.646142629831823,38600
1999-01-25,5.599609851837158,5.630632621099414,5.5530756979437745,5.630632621099414,36400
1999-01-26,5.545319080352783,5.607364608524563,5.4987849342239485,5.607364608524563,51400
1999-01-27,5.444494247436523,5.553073904792807,5.428982867814197,5.553073904792807,74200
1999-01-28,5.413469314575195,5.46000343475779,5.3669351943926005,5.46000343475779,61600
1999-01-29,5.413469314575195,5.413469314575195,5.320401074210006,5.382446567786799,37200
1999-02-01,5.359180927276611,5.428982126039982,5.359180927276611,5.413470748537011,46200
1999-02-02,5.366936683654785,5.413470816750058,5.343669617107149,5.366936683654785,53000
1999-02-03,5.491028785705566,5.522051547206728,5.397960501202083,5.397960501202083,58800
1999-02-04,5.522051811218262,5.537563192710448,5.475517666741704,5.491029048233889,52000
1999-02-05,5.677165985107422,5.692677367580393,5.50654077790474,5.537563542850682,132000
1999-02-08,5.7547197341918945,5.7547197341918945,5.692674238405459,5.700429925378764,62200
1999-02-09,5.646140098571777,5.762475402800591,5.646140098571777,5.762475402800591,128600
